city,lat,long
Yamunanagar,30.12796,77.28371
Vizianagaram,18.11692,83.41148
Vishakhapatnam,17.73333,83.26667
Vijayawada,16.50745,80.6466
Varanasi,25.31668,83.01041
Vadodara,22.29941,73.20812
Usgao,15.43333,74.06667
Unnao,26.54706,80.48781
Una,31.46493,76.26914
Umsning,25.73647,91.88804
Ulhasnagar,19.21667,73.15
Ujjain,23.18239,75.77643
Udaipur,27.72297,75.47178
Tura,25.51421,90.20239
Tumkur,16.51204,77.08753
Thiruvananthapuram,8.4855,76.94924
Tirupati,13.63551,79.41989
Tinsukia,27.48569,95.35949
Thane,19.19704,72.96355
Tezpur,26.63333,92.8
Tarapur,22.46369,72.67039
Talcher,20.94927,85.23354
Surat,21.19594,72.83023
Srikakulam,18.2989,83.89751
Sindri,23.63996,86.50978
Shimla,31.10442,77.16662
Silvassa,20.27386,72.99673
Silchar,24.82733,92.79787
Sibsagar,26.98427,94.63784
Solapur,17.67152,75.91044
Shimoga,13.93157,75.56791
Shillong,25.56892,91.88313
Satna,24.57726,80.82719
Sankrail,22.54997,88.22515
Sanguem,15.22901,74.15149
Sangrur,30.24506,75.84488
Sangli,16.85438,74.56417
Sambalpur,21.9,81.73333
Salem,15.7,73.91667
Saharanpur,29.9679,77.54522
Sagar,22.38384,79.46607
Roha,23.19646,69.27076
Rishikesh,30.10778,78.29255
Rayagada,19.17132,83.41428
Raniganj,27.65,82.51667
Ranchi,23.34316,85.3094
Rajkot,22.29161,70.79322
Rajahmundry,17.00517,81.77784
Raipur,31.47383,76.40662
Raichur,16.20546,77.35567
Kollam,8.88113,76.58469
Puri,20.43266,81.25642
Pune,18.51957,73.85535
Ponda,15.40341,74.01519
Patna,27.82742,81.76565
Patiala,30.33625,76.3922
Pathanamthitta,9.26667,76.78333
Patancheru,17.53334,78.2645
Panaji,15.49574,73.82624
Ongole,15.50357,80.04454
Nongstoin,25.51704,91.26484
Nizamabad,26.05295,83.05787
Mangalore,12.92778,74.82083
Nellore,14.44992,79.98697
Nashik,19.99727,73.79096
Nanded,21.14268,75.26994
Nalgonda,17.05439,79.26707
Nalbari,26.6567,91.91161
Nalagarh,31.04168,76.72285
Nahan,30.56029,77.29426
Nagpur,29.65644,75.42146
Nagda,25.69458,76.65601
Nagaon,18.87208,72.92642
Mysore,12.29791,76.63925
Moradabad,28.83893,78.77684
Mettur,11.78796,77.8008
Meerut,28.98002,77.70636
Mathura,27.57957,82.059
Mormugao,15.38914,73.81491
Margherita,27.28482,95.66796
Mandya,12.5223,76.89746
Manali,32.2574,77.17481
Malappuram,11.78333,92.71667
Mahad,18.08333,73.41667
Madurai,9.919,78.11953
Chennai,13.08784,80.27847
Lunglei,22.89247,92.74218
Ludhiana,30.91204,75.85379
Lucknow,26.83928,80.92313
Latur,18.39721,76.56784
Lakhimpur,27.94822,80.77935
Kurnool,15.82887,78.03602
Kozhikode,11.24802,75.7804
Kottayam,11.82519,75.54779
Kota,25.26258,77.39026
Korba,22.3458,82.69633
Kolasib,24.22388,92.67869
Kolhapur,16.69563,74.23167
Kolar,30.50223,77.41973
Kohima,25.67467,94.11099
Khurja,28.20845,77.81856
Khanna,30.70547,76.22196
Khammam,17.24767,80.14368
Khadoli,20.15026,73.03172
Kashipur,29.21399,78.95693
Karimnagar,18.43915,79.12856
Karaikal,10.91667,79.83333
Kanpur,32.4238,75.35573
Kalyani,22.98333,88.48333
Kakinada,16.96036,82.23809
Jalandhar,31.32556,75.57917
Jodhpur,24.07305,79.86426
Jharia,23.74079,86.41456
Jhansi,25.45887,78.57994
Jamnagar,22.47292,70.06673
Jammu,32.73569,74.86911
Jalna,19.84102,75.88636
Jalgaon,21.00292,75.56602
Jaipur,27.26192,95.39595
Jabalpur,23.16697,79.95006
Itanagar,27.08694,93.60987
Indore,22.71792,75.8333
Imphal,24.80805,93.9442
Hyderabad,17.38405,78.45636
Hubli,15.34776,75.13378
Hoshiarpur,31.53723,75.91269
Hisar,29.15394,75.72294
Hassan,13.00715,76.0962
Haridwar,29.94791,78.16025
Haldwani,29.22254,79.5286
Haldia,22.01667,88.08333
Hailakandi,24.68394,92.56097
Gwalior,26.22983,78.17337
Guntur,16.29974,80.45729
Gulbarga,17.33583,76.83757
Gorakhpur,29.44768,75.67206
