city,so2,no2,spm,year,lat,lng,radius,avg,date,pop
Hyderabad,8.868965517,15.29655172,NA,1990,17.384052,78.456355,116.5840132,12.08275862,1/1/1990,6810000
Hyderabad,10.81111111,18.82777778,NA,1991,17.384052,78.456355,116.5840132,14.81944445,1/1/1991,6810000
Hyderabad,12.806,28.774,186.28,1992,17.384052,78.456355,116.5840132,75.95333333,1/1/1992,6810000
Hyderabad,8.544444444,15.96111111,NA,1993,17.384052,78.456355,116.5840132,12.25277778,1/1/1993,6810000
Hyderabad,10.76031746,18.27301587,NA,1994,17.384052,78.456355,116.5840132,14.51666667,1/1/1994,6810000
Hyderabad,16.51875,36.103125,NA,1995,17.384052,78.456355,116.5840132,26.3109375,1/1/1995,6810000
Hyderabad,NA,NA,NA,1996,17.384052,78.456355,116.5840132,NA,1/1/1996,6810000
Hyderabad,NA,NA,135.7096774,1997,17.384052,78.456355,116.5840132,135.7096774,1/1/1997,6810000
Hyderabad,10.90392157,30.52941176,187.3529412,1998,17.384052,78.456355,116.5840132,76.26209151,1/1/1998,6810000
Hyderabad,13.18333333,22.37083333,214.5555556,1999,17.384052,78.456355,116.5840132,83.36990742,1/1/1999,6810000
Hyderabad,NA,NA,160.75,2000,17.384052,78.456355,116.5840132,160.75,1/1/2000,6810000
Hyderabad,11.28194444,29.19583333,152.0694444,2001,17.384052,78.456355,116.5840132,64.18240739,1/1/2001,6810000
Hyderabad,7.245833333,25.6375,120.3333333,2002,17.384052,78.456355,116.5840132,51.07222221,1/1/2002,6810000
Hyderabad,3.685294118,30.68848039,NA,2004,17.384052,78.456355,116.5840132,17.18688725,1/1/2004,6810000
Hyderabad,NA,NA,227.3288227,2005,17.384052,78.456355,116.5840132,227.3288227,1/1/2005,6810000
Hyderabad,NA,NA,NA,2006,17.384052,78.456355,116.5840132,NA,1/1/2006,6810000
Hyderabad,NA,NA,NA,2007,17.384052,78.456355,116.5840132,NA,1/1/2007,6810000
Hyderabad,NA,NA,NA,2008,17.384052,78.456355,116.5840132,NA,1/1/2008,6810000
Hyderabad,NA,NA,NA,2009,17.384052,78.456355,116.5840132,NA,1/1/2009,6810000
Hyderabad,NA,NA,NA,2010,17.384052,78.456355,116.5840132,NA,1/1/2010,6810000
Hyderabad,NA,NA,NA,2011,17.384052,78.456355,116.5840132,NA,1/1/2011,6810000
Hyderabad,4.724941725,25.33100233,NA,2012,17.384052,78.456355,116.5840132,15.02797203,1/1/2012,6810000
Hyderabad,NA,NA,NA,2013,17.384052,78.456355,116.5840132,NA,1/1/2013,6810000
Hyderabad,NA,NA,NA,2014,17.384052,78.456355,116.5840132,NA,1/1/2014,6810000
Hyderabad,NA,NA,NA,2015,17.384052,78.456355,116.5840132,NA,1/1/2015,6810000
Vishakhapatnam,NA,NA,243.5675676,1992,17.73333,83.26667,116.5840132,243.5675676,1/1/1992,2036000
Vishakhapatnam,18.9,27.43703704,150.2962963,1995,17.73333,83.26667,116.5840132,65.54444445,1/1/1995,2036000
Vishakhapatnam,23.89722222,56.25,188.6388889,1996,17.73333,83.26667,116.5840132,89.59537037,1/1/1996,2036000
Vishakhapatnam,31.25833333,59.43888889,250.25,1997,17.73333,83.26667,116.5840132,113.6490741,1/1/1997,2036000
Vishakhapatnam,12.79565217,17.27391304,148.7391304,1998,17.73333,83.26667,116.5840132,59.60289854,1/1/1998,2036000
Vishakhapatnam,16.78611111,14.92222222,163.4166667,1999,17.73333,83.26667,116.5840132,65.04166668,1/1/1999,2036000
Vishakhapatnam,16.64166667,20.86944444,101.3055556,2000,17.73333,83.26667,116.5840132,46.27222224,1/1/2000,2036000
Vishakhapatnam,13.56969697,22.54545455,122.5454545,2001,17.73333,83.26667,116.5840132,52.88686867,1/1/2001,2036000
Vishakhapatnam,8.075757576,23.53333333,10.66666667,2002,17.73333,83.26667,116.5840132,14.09191919,1/1/2002,2036000
Visakhapatnam,10.32,32.036,135.294,2004,17.6999,83.3,116.5840132,59.21666667,1/1/2004,2036000
Visakhapatnam,11.75576923,32.62115385,187.2115385,2005,17.6999,83.3,116.5840132,77.19615386,1/1/2005,2036000
Visakhapatnam,11.22986627,32.09197623,201.6062407,2006,17.6999,83.3,116.5840132,81.6426944,1/1/2006,2036000
