city,so2,no2,spm,year
Hyderabad,8.868965517,15.29655172,NA,1990
Hyderabad,10.81111111,18.82777778,NA,1991
Hyderabad,12.806,28.774,186.28,1992
Hyderabad,8.544444444,15.96111111,NA,1993
Hyderabad,10.76031746,18.27301587,NA,1994
Hyderabad,16.51875,36.103125,NA,1995
Hyderabad,NA,NA,NA,1996
Hyderabad,NA,NA,135.7096774,1997
Hyderabad,10.90392157,30.52941176,187.3529412,1998
Hyderabad,13.18333333,22.37083333,214.5555556,1999
Hyderabad,NA,NA,160.75,2000
Hyderabad,11.28194444,29.19583333,152.0694444,2001
Hyderabad,7.245833333,25.6375,120.3333333,2002
Hyderabad,3.685294118,30.68848039,NA,2004
Hyderabad,NA,NA,227.3288227,2005
Hyderabad,NA,NA,NA,2006
Hyderabad,NA,NA,NA,2007
Hyderabad,NA,NA,NA,2008
Hyderabad,NA,NA,NA,2009
Hyderabad,NA,NA,NA,2010
Hyderabad,NA,NA,NA,2011
Hyderabad,4.724941725,25.33100233,NA,2012
Hyderabad,NA,NA,NA,2013
Hyderabad,NA,NA,NA,2014
Hyderabad,NA,NA,NA,2015
Vishakhapatnam,NA,NA,243.5675676,1992
Vishakhapatnam,18.9,27.43703704,150.2962963,1995
Vishakhapatnam,23.89722222,56.25,188.6388889,1996
Vishakhapatnam,31.25833333,59.43888889,250.25,1997
Vishakhapatnam,12.79565217,17.27391304,148.7391304,1998
Vishakhapatnam,16.78611111,14.92222222,163.4166667,1999
Vishakhapatnam,16.64166667,20.86944444,101.3055556,2000
Vishakhapatnam,13.56969697,22.54545455,122.5454545,2001
Vishakhapatnam,8.075757576,23.53333333,10.66666667,2002
Visakhapatnam,10.32,32.036,135.294,2004
Visakhapatnam,11.75576923,32.62115385,187.2115385,2005
Visakhapatnam,11.22986627,32.09197623,201.6062407,2006
Visakhapatnam,8.449232915,30.50013947,NA,2007
Visakhapatnam,10.14107143,29.71428571,178.6443452,2008
Visakhapatnam,NA,NA,NA,2009
Visakhapatnam,NA,NA,NA,2010
Visakhapatnam,NA,NA,NA,2012
Visakhapatnam,13.30140187,17.93925234,NA,2013
Visakhapatnam,13.27222982,20.80164159,NA,2014
Visakhapatnam,NA,NA,NA,2015
Tirupati,4.7625,10.275,65.375,2005
Tirupati,4.002298851,9.011494253,100.7816092,2006
Tirupati,NA,NA,NA,2007
Tirupati,4,9,109.0775862,2008
Tirupati,NA,NA,NA,2009
Tirupati,4,9,NA,2010
Tirupati,4.289795918,9.306122449,97.67346939,2011
Tirupati,4.366666667,16.86666667,NA,2012
Tirupati,4,9,NA,2013
Tirupati,4.742574257,11.04950495,NA,2015
Vijayawada,5.823529412,31.33529412,159.7058824,2005
